Time,Latitude,Longitude,Altitude,Speed:,Direction,Accuracy
2026-03-11 11:41:27.270,55.75466,48.74201,230.00,0.23,0.00,35.07
2026-03-11 11:41:27.813,55.75466,48.74201,230.00,0.40,229.13,35.12
2026-03-11 11:41:28.525,55.75466,48.74201,230.00,0.36,0.00,35.17
2026-03-11 11:41:30.213,55.75463,48.74202,201.20,2.00,93.04,31.73
2026-03-11 11:41:31.550,55.75463,48.74202,201.20,2.09,293.96,29.52
2026-03-11 11:41:32.014,55.75462,48.74201,201.20,2.13,292.86,27.97
2026-03-11 11:41:32.939,55.75463,48.74200,201.20,2.32,308.31,24.16
2026-03-11 11:41:33.792,55.75463,48.74200,201.20,2.16,295.84,21.55
2026-03-11 11:41:35.452,55.75463,48.74198,201.20,1.94,190.13,19.23
2026-03-11 11:41:36.329,55.75462,48.74198,201.20,1.76,154.70,19.34
2026-03-11 11:41:37.194,55.75464,48.74196,230.00,1.51,149.57,18.50
2026-03-11 11:41:37.923,55.75464,48.74195,230.00,1.49,148.28,17.62
2026-03-11 11:41:38.828,55.75464,48.74195,230.00,1.69,159.95,16.08
2026-03-11 11:41:39.531,55.75464,48.74194,230.00,1.78,177.13,15.56
2026-03-11 11:41:43.636,55.75463,48.74194,230.00,0.82,57.56,12.14
2026-03-11 11:41:45.457,55.75464,48.74193,230.00,0.80,357.80,10.97
2026-03-11 11:41:46.335,55.75465,48.74193,230.00,0.72,3.29,10.51
2026-03-11 11:41:47.077,55.75465,48.74193,230.00,0.79,8.10,10.22
2026-03-11 11:41:50.654,55.75466,48.74192,230.00,1.31,253.32,9.00
2026-03-11 11:41:51.135,55.75466,48.74192,230.00,1.35,227.30,8.98
2026-03-11 11:41:51.835,55.75466,48.74191,230.00,1.24,201.53,8.71
